Package,Size
coreutils-9.0-8.f36, 5945882
ca-certificates-2022.2.54-1.2.f36, 2344948
krb5-libs-1.19.2-11.f36, 2200788
libblkid-2.38-1.f36, 235145
libmount-2.38-1.f36, 319461
glib2-2.72.3-1.f36, 13755604
libtirpc-1.3.3-0.f36, 208386
libarchive-3.5.3-3.f36, 915702
kmod-29-7.f36, 230237
json-glib-1.6.6-2.f36, 551836
polkit-libs-0.120-5.f36, 208808
util-linux-core-2.38-1.f36, 1348373
kmod-libs-29-7.f36, 143286
libsss_certmap-2.7.4-1.f36, 135710
NetworkManager-libnm-1:1.38.4-1.f36, 9725228
libfdisk-2.38-1.f36, 388347
cyrus-sasl-lib-2.1.27-18.f36, 2443592
libevent-2.1.12-6.f36, 932442
openldap-2.6.2-3.f36, 655428
libldb-2.5.2-1.f36, 580115
gnupg2-2.3.7-3.f36, 9307388
gpgme-1.17.0-4.f36, 584644
libnfsidmap-1:2.6.2-0.f36, 199291
openldap-compat-2.6.2-3.f36, 60806
cyrus-sasl-gssapi-2.1.27-18.f36, 45624
shared-mime-info-2.1-3.f35, 5187116
gzip-1.11-3.f36, 379387
cracklib-2.9.6-28.f36, 252442
cracklib-dicts-2.9.6-28.f36, 9815139
which-2.21-32.f36, 82543
libfido2-1.10.0-3.f36, 236638
libjose-11-5.f36, 158084
zchunk-libs-1.2.3-1.f36, 100066
jose-11-5.f36, 137022
fuse-2.9.9-14.f36, 220887
libxmlb-0.3.10-1.f36, 299842
adcli-0.9.1-10.f36, 329765
sssd-nfs-idmap-2.7.4-1.f36, 48986
libjcat-0.1.12-1.f36, 199111
libuser-0.63-10.f36, 2011763
avahi-libs-0.8-15.f36, 179406
fuse-overlayfs-1.9-1.f36, 147990
libnsl2-2.0.0-3.f36, 59630
libpwquality-1.4.4-7.f36, 416316
pam-1.5.2-13.f36, 1863738
authselect-1.4.0-1.f36, 155152
util-linux-2.38-1.f36, 11568355
authselect-libs-1.4.0-1.f36, 975498
cryptsetup-libs-2.4.3-2.f36, 1925621
device-mapper-libs-1.02.175-7.f36, 421809
device-mapper-1.02.175-7.f36, 360995
elfutils-libs-0.187-4.f36, 682909
elfutils-default-yama-scope-0.187-4.f36, 1810
systemd-pam-250.8-1.f36, 975492
systemd-250.8-1.f36, 14464721
systemd-resolved-250.8-1.f36, 606203
console-login-helper-messages-0.21.3-1.f36, 14692
