Name,Frequency,Size,Src
sssd-krb5-common-2.8.1-1.fc37.x86_64,9,185976,sssd-2.8.1-1.fc37.src.rpm
libnfsidmap-1:2.6.2-2.rc4.fc37.x86_64,13,184768,nfs-utils-2.6.2-2.rc4.fc37.src.rpm
lsof-4.94.0-4.fc37.x86_64,0,183392,lsof-4.94.0-4.fc37.src.rpm
kmod-30-2.fc37.x86_64,1,181859,kmod-30-2.fc37.src.rpm
dosfstools-4.2-4.fc37.x86_64,0,181592,dosfstools-4.2-4.fc37.src.rpm
libsmbclient-2:4.17.3-0.fc37.x86_64,23,178864,samba-4.17.3-0.fc37.src.rpm
avahi-libs-0.8-18.fc37.x86_64,2,178599,avahi-0.8-18.fc37.src.rpm
libselinux-3.4-5.fc37.x86_64,3,177864,libselinux-3.4-5.fc37.src.rpm
libnghttp2-1.51.0-1.fc37.x86_64,4,174852,nghttp2-1.51.0-1.fc37.src.rpm
xz-libs-5.2.5-10.fc37.x86_64,1,174672,xz-5.2.5-10.fc37.src.rpm
libcap-2.48-5.fc37.x86_64,0,174512,libcap-2.48-5.fc37.src.rpm
newt-0.52.21-14.fc37.x86_64,0,174112,newt-0.52.21-14.fc37.src.rpm
adcli-0.9.1-11.fc37.x86_64,0,168664,adcli-0.9.1-11.fc37.src.rpm
gzip-1.12-2.fc37.x86_64,1,165401,gzip-1.12-2.fc37.src.rpm
libgcc-12.2.1-4.fc37.x86_64,14,158300,gcc-12.2.1-4.fc37.src.rpm
libseccomp-2.5.3-3.fc37.x86_64,0,152172,libseccomp-2.5.3-3.fc37.src.rpm
libjose-11-6.fc37.x86_64,0,147856,jose-11-6.fc37.src.rpm
attr-2.5.1-5.fc37.x86_64,0,147640,attr-2.5.1-5.fc37.src.rpm
lz4-libs-1.9.3-5.fc37.x86_64,0,144224,lz4-1.9.3-5.fc37.src.rpm
libslirp-4.7.0-2.fc37.x86_64,1,143112,libslirp-4.7.0-2.fc37.src.rpm
libnetfilter_conntrack-1.0.8-5.fc37.x86_64,0,143030,libnetfilter_conntrack-1.0.8-5.fc37.src.rpm
